subjID	level1_choice	level2_choice	reward
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	0
P061fqqs9	1.0	1.0	0
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	2.0	0
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	2.0	0
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	2.0	0
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	2.0	0
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	2.0	0
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	2.0	1
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	0
P061fqqs9	1.0	1.0	0
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	0
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	2.0	0
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	0
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	2.0	0
P061fqqs9	1.0	2.0	0
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	0
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	0
P061fqqs9	1.0	2.0	1
P061fqqs9	1.0	2.0	0
P061fqqs9	2.0	2.0	1
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	0
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	1.0	0
P061fqqs9	1.0	1.0	1
P061fqqs9	2.0	1.0	0
P061fqqs9	2.0	2.0	0
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	1.0	0
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	2.0	0
P061fqqs9	2.0	2.0	0
P061fqqs9	1.0	2.0	0
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	2.0	1
P061fqqs9	1.0	1.0	0
P061fqqs9	1.0	1.0	0
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	1.0	0
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	1.0	1
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	2.0	0
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	1.0	0
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	2.0	0
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	2.0	0
P061fqqs9	2.0	1.0	0
P061fqqs9	2.0	2.0	0
P061fqqs9	2.0	2.0	0
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	2.0	1
P061fqqs9	1.0	1.0	0
P061fqqs9	1.0	2.0	0
P061fqqs9	1.0	2.0	0
P061fqqs9	1.0	2.0	0
P061fqqs9	2.0	2.0	0
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	2.0	0
P061fqqs9	2.0	2.0	0
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	0
P061fqqs9	1.0	1.0	0
P061fqqs9	2.0	1.0	0
P061fqqs9	2.0	2.0	0
P061fqqs9	2.0	2.0	0
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	2.0	0
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	0
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	0
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	2.0	0
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	0
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	0
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	2.0	0
P061fqqs9	1.0	1.0	0
P061fqqs9	2.0	2.0	0
P061fqqs9	1.0	2.0	0
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	0
P061fqqs9	2.0	1.0	0
P061fqqs9	2.0	2.0	0
P061fqqs9	1.0	1.0	0
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	2.0	0
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	1.0	0
P061fqqs9	2.0	2.0	1
P061fqqs9	1.0	2.0	1
P061fqqs9	2.0	1.0	0
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	2.0	0
P061fqqs9	2.0	1.0	0
P061fqqs9	2.0	1.0	0
P061fqqs9	1.0	2.0	1
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	2.0	1
P061fqqs9	1.0	1.0	0
P061fqqs9	2.0	2.0	1
P061fqqs9	1.0	2.0	1
P061fqqs9	2.0	2.0	0
P061fqqs9	2.0	1.0	0
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	2.0	0
P061fqqs9	2.0	2.0	0
P061fqqs9	1.0	1.0	0
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	1.0	0
P061fqqs9	2.0	1.0	0
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	1.0	0
P061fqqs9	1.0	1.0	0
P061fqqs9	2.0	2.0	0
P061fqqs9	2.0	2.0	0
P061fqqs9	1.0	2.0	0
P061fqqs9	1.0	1.0	0
P061fqqs9	1.0	1.0	0
P061fqqs9	2.0	1.0	0
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	2.0	1
P061fqqs9	1.0	1.0	0
P061fqqs9	2.0	2.0	0
P061fqqs9	1.0	2.0	1
P061fqqs9	1.0	2.0	0
P061fqqs9	1.0	1.0	1
P061fqqs9	2.0	1.0	0
P061fqqs9	2.0	2.0	0
P061fqqs9	2.0	1.0	1
P061fqqs9	1.0	2.0	1
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	2.0	0
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	0
P061fqqs9	1.0	1.0	0
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	0
P061fqqs9	1.0	2.0	0
P061fqqs9	1.0	1.0	0
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	2.0	1
P061fqqs9	1.0	2.0	0
P061fqqs9	1.0	1.0	0
P061fqqs9	2.0	2.0	0
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	2.0	0
P061fqqs9	1.0	2.0	1
P061fqqs9	1.0	2.0	1
P061fqqs9	2.0	2.0	0
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	0
P061fqqs9	1.0	1.0	0
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	0
P061fqqs9	1.0	2.0	1
P061fqqs9	1.0	1.0	0
P061fqqs9	1.0	2.0	1
P061fqqs9	1.0	2.0	0
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	0
P061fqqs9	1.0	2.0	0
P061fqqs9	1.0	1.0	1
P061fqqs9	1.0	1.0	0
P061fqqs9	1.0	2.0	0
P061fqqs9	1.0	1.0	0
P061fqqs9	1.0	1.0	0
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	1.0	0
P061fqqs9	2.0	1.0	0
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	2.0	1
P061fqqs9	1.0	2.0	1
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	1.0	0
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	1.0	0
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	1.0	0
P061fqqs9	2.0	2.0	0
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	2.0	0
P061fqqs9	2.0	1.0	0
P061fqqs9	2.0	1.0	0
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	1.0	0
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	1.0	0
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	2.0	0
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	2.0	0
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	2.0	0
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	2.0	1
P061fqqs9	2.0	2.0	1
